raw_x,raw_y,raw_z,raw_yaw,filt_x,filt_y,filt_z,filt_yaw
2.66462,-0.504262,0.441493,-1.53812,2.66462,-0.504262,0.441493,-1.53812
2.82653,-0.553291,0.465977,-1.503,2.82637,-0.553242,0.465953,-1.50933
2.9443,-0.593507,0.481158,1.68751,2.95036,-0.594708,0.48244,-1.46316
3.15183,-0.647837,0.513769,-1.48624,3.13851,-0.645957,0.51127,-1.46633
3.10959,-0.0914816,0.496347,-1.74981,3.15331,-0.225477,0.505222,-1.61891
2.87917,-0.100048,0.463116,-1.68502,2.95736,-0.0752016,0.473926,-1.66928
2.72272,-0.117129,0.442858,-1.70388,2.75503,-0.0665538,0.446076,-1.70611
2.5916,-0.128713,0.420791,-1.65241,2.59266,-0.0975515,0.42119,-1.70712
2.4748,-0.138127,0.404811,-1.69303,2.46515,-0.126554,0.403025,-1.72148
2.38562,-0.148615,0.382177,1.43471,2.37194,-0.146671,0.382238,-1.73513
2.28625,-0.158101,0.375386,-1.68544,2.28043,-0.15946,0.372281,-1.73732
2.28229,-0.173943,0.377378,-1.64577,2.2596,-0.173975,0.373065,-1.72656
2.18056,-0.195083,0.360881,-1.66232,2.18675,-0.193614,0.362483,-1.72222
2.21392,-0.213235,0.366938,-1.61978,2.19337,-0.212795,0.364053,-1.70736
2.16145,-0.224708,0.359987,-1.61939,2.16387,-0.226204,0.360377,-1.69505
2.18961,-0.245224,0.365205,-1.62788,2.17797,-0.244419,0.363417,-1.68676
2.18106,-0.258919,0.362962,-1.61574,2.18,-0.259508,0.363205,-1.67702
2.10525,-0.268427,0.351284,-1.62723,2.12214,-0.269988,0.353982,-1.67116
2.16879,-0.293521,0.362897,-1.59775,2.15047,-0.291067,0.359647,-1.66009
2.16114,-0.315995,0.360906,-1.624,2.15956,-0.314391,0.360911,-1.6557
2.25574,-0.347618,0.377241,-1.58735,2.23574,-0.344913,0.373866,-1.64491
2.34595,-0.374019,0.3892,-1.58218,2.33228,-0.373519,0.387646,-1.63458
2.31552,-0.389571,0.386001,-1.55624,2.33678,-0.392234,0.388988,-1.62093
2.43273,-0.426503,0.405278,-1.56972,2.41866,-0.423821,0.402831,-1.61137
2.56825,-0.467291,0.421174,1.6409,2.54882,-0.463817,0.419426,-1.59118
2.63345,-0.495414,0.436818,-1.54689,2.63778,-0.496245,0.43611,-1.5812
2.77727,-0.535852,0.457306,-1.56211,2.76725,-0.534495,0.456081,-1.57502
2.90672,-0.582386,0.472215,1.65999,2.90145,-0.579814,0.472704,-1.55653
3.16913,-0.649663,0.512819,1.65088,3.13761,-0.643387,0.507702,-1.54166
3.88011,-0.0667455,0.61115,-1.72672,3.75709,-0.208344,0.59426,-1.56644
3.58628,-0.0767188,0.569137,-1.67062,3.72621,-0.0515348,0.589061,-1.58023
3.2762,-0.0831896,0.522113,-1.70982,3.41246,-0.0333311,0.541979,-1.59914
3.01627,-0.0923001,0.484588,-1.71869,3.07596,-0.0599241,0.492907,-1.61781
2.83298,-0.101881,0.459095,-1.68449,2.83007,-0.0886456,0.45819,-1.62943
2.72465,-0.115132,0.440606,-1.69614,2.69228,-0.11163,0.436492,-1.64174
2.61107,-0.126227,0.423826,-1.66795,2.5886,-0.127048,0.420558,-1.64842
2.47319,-0.134249,0.404123,-1.70023,2.46902,-0.13634,0.403247,-1.65933
2.34055,-0.14414,0.381117,-1.70886,2.34128,-0.145106,0.381932,-1.67041
2.29142,-0.154781,0.375649,-1.65091,2.27419,-0.154869,0.372526,-1.67126
2.283,-0.171476,0.374278,-1.6388,2.26077,-0.169969,0.370833,-1.66982
2.22776,-0.184187,0.358318,1.52819,2.22543,-0.183929,0.359702,-1.66427
2.21204,-0.200262,0.365028,-1.632,2.20642,-0.199652,0.361757,-1.6618
2.18697,-0.214818,0.363453,-1.61972,2.18536,-0.214758,0.362545,-1.65743
2.18892,-0.23176,0.363879,-1.60825,2.18292,-0.231317,0.363482,-1.65146
2.18058,-0.252931,0.361578,-1.60864,2.17874,-0.251664,0.362095,-1.64592
2.16621,-0.269038,0.360061,-1.59662,2.16752,-0.269321,0.360362,-1.63888
2.18429,-0.289199,0.357156,1.57786,2.17841,-0.288787,0.357577,-1.62729
2.21241,-0.308285,0.368913,-1.5796,2.20546,-0.308153,0.365876,-1.61913
2.17147,-0.321958,0.362629,-1.58634,2.18304,-0.323165,0.364298,-1.61276
2.24228,-0.349185,0.373881,-1.55492,2.22748,-0.347082,0.371884,-1.60217
2.27476,-0.37001,0.377017,-1.57527,2.26965,-0.369596,0.376963,-1.59576
2.40727,-0.408445,0.401996,-1.5399,2.38433,-0.404658,0.397507,-1.58459
2.445,-0.432831,0.405532,-1.55598,2.45017,-0.43323,0.406981,-1.57707
2.50872,-0.459335,0.414542,-1.51852,2.51191,-0.460009,0.415409,-1.56463
2.68491,-0.510732,0.443803,-1.52299,2.66094,-0.505569,0.43959,-1.55421
2.85725,-0.557701,0.465511,-1.51967,2.8394,-0.554666,0.463847,-1.54449
3.03688,-0.6172,0.497477,-1.47138,3.02722,-0.613271,0.494873,-1.52846
3.31599,-0.689178,0.543016,-1.46156,3.29044,-0.684111,0.538392,-1.51265
3.62643,-0.0665452,0.576216,-1.74819,3.60239,-0.219311,0.576094,-1.54311
3.45613,-0.0786819,0.551944,-1.73952,3.55156,-0.0522238,0.565771,-1.57017
3.13523,-0.0845768,0.502268,-1.76095,3.24601,-0.0318728,0.518369,-1.59855
2.84581,-0.0985639,0.459464,-1.72642,2.90053,-0.0631152,0.466912,-1.61928
2.77105,-0.111294,0.449496,-1.73887,2.73918,-0.0967774,0.444119,-1.64012
2.66072,-0.121034,0.433306,-1.69315,2.6325,-0.118752,0.428994,-1.65191
2.53105,-0.132023,0.415785,-1.6947,2.52134,-0.133283,0.414052,-1.66266
2.43749,-0.143588,0.399884,-1.70681,2.42844,-0.144917,0.399186,-1.67403
2.31415,-0.152254,0.379525,-1.69415,2.3162,-0.153619,0.380389,-1.68209
2.26428,-0.174778,0.373843,-1.65166,2.25138,-0.172398,0.371358,-1.68248
2.23706,-0.188929,0.370149,-1.65106,2.22184,-0.188713,0.367645,-1.6823
2.21286,-0.203724,0.367337,-1.62597,2.20365,-0.203952,0.365816,-1.67786
2.20397,-0.21846,0.359609,1.54965,2.19704,-0.218692,0.360131,-1.66815
2.1264,-0.235242,0.353751,-1.62506,2.13865,-0.234907,0.354064,-1.6641
2.18087,-0.255566,0.362096,-1.60293,2.16203,-0.254468,0.359031,-1.65673
2.13037,-0.266659,0.354979,-1.60874,2.13701,-0.267979,0.356074,-1.65071
