raw_yaw,filt_yaw
-1.53812,-1.53812
-1.503,-1.50314
1.68751,-1.45647
-1.48624,-1.46497
-1.74981,-1.63059
-1.68502,-1.68034
-1.70388,-1.71517
-1.65241,-1.70917
-1.69303,-1.71889
1.43471,-1.72797
-1.68544,-1.72201
-1.64577,-1.69807
-1.66232,-1.6856
-1.61978,-1.65802
-1.61939,-1.63773
-1.62788,-1.62755
-1.61574,-1.61658
-1.62723,-1.61494
-1.59775,-1.60295
-1.624,-1.60644
-1.58735,-1.59498
-1.58218,-1.58534
-1.55624,-1.56852
-1.56972,-1.56309
1.6409,-1.53169
-1.54689,-1.52951
-1.56211,-1.5365
1.65999,-1.50954
1.65088,-1.4947
-1.72672,-1.58469
-1.67062,-1.62869
-1.70982,-1.67518
-1.71869,-1.70962
-1.68449,-1.71624
-1.69614,-1.72155
-1.66795,-1.71006
-1.70023,-1.7124
-1.70886,-1.71607
-1.65091,-1.69311
-1.6388,-1.67015
1.52819,-1.64279
-1.632,-1.63155
-1.61972,-1.61992
-1.60825,-1.60834
-1.60864,-1.60177
-1.59662,-1.59365
1.57786,-1.57546
-1.5796,-1.5703
-1.58634,-1.57113
-1.55492,-1.56007
-1.57527,-1.56164
-1.5399,-1.54917
-1.55598,-1.54768
-1.51852,-1.53199
-1.52299,-1.52332
-1.51967,-1.51685
-1.47138,-1.49313
-1.46156,-1.47291
-1.74819,-1.58022
-1.73952,-1.65696
-1.76095,-1.71939
-1.72642,-1.74561
-1.73887,-1.76398
-1.69315,-1.75276
-1.6947,-1.74047
-1.70681,-1.73349
-1.69415,-1.72125
-1.65166,-1.6934
-1.65106,-1.67249
-1.62597,-1.64751
1.54965,-1.61642
-1.62506,-1.60963
-1.60293,-1.59807
-1.60874,-1.59432
-1.59842,-1.58937
1.58439,-1.57017
-1.57987,-1.56715
-1.56165,-1.55911
-1.54241,-1.54665
-1.54826,-1.54142
-1.54734,-1.53873
-1.52335,-1.52803
-1.53868,-1.52775
-1.53662,-1.5279
-1.4693,-1.50068
-1.46228,-1.47855
-1.71381,-1.5695
-1.71548,-1.63854
-1.69381,-1.6778
-1.70303,-1.70618
-1.68315,-1.71397
1.48306,-1.70485
-1.67478,-1.70138
-1.68404,-1.70038
-1.62552,-1.67349
-1.66871,-1.67083
-1.63253,-1.65388
-1.63831,-1.64417
-1.63348,-1.63587
-1.6208,-1.62548
-1.63303,-1.62408
-1.60364,-1.6119
-1.617,-1.60954
-1.58619,-1.59605
-1.58117,-1.58505
-1.55497,-1.56725
-1.56238,-1.55871
-1.53877,-1.54424
-1.55471,-1.54194
-1.56156,-1.54486
-1.5364,-1.53779
-1.54306,-1.53634
-1.52076,-1.52686
-1.73884,-1.61221
-1.72074,-1.6678
-1.70932,-1.70097
-1.72856,-1.72919
-1.68277,-1.72629
-1.69736,-1.72604
-1.65828,-1.70641
1.4703,-1.69529
-1.65875,-1.68099
-1.65165,-1.66731
-1.63049,-1.64881
-1.64254,-1.64115
-1.61259,-1.62429
-1.60651,-1.61069
-1.60256,-1.60069
-1.59712,-1.59281
-1.61607,-1.59665
-1.58589,-1.5883
-1.58651,-1.58346
-1.57471,-1.57603
-1.56194,-1.56622
-1.53343,-1.5481
-1.56284,-1.54834
-1.54029,-1.54058
-1.5387,-1.53538
-1.503,-1.51774
-1.509,-1.50843
-1.47676,-1.48956
-1.44465,-1.46375
-1.76302,-1.58031
-1.75883,-1.66589
-1.78279,-1.73562
-1.75317,-1.76874
-1.72815,-1.77579
-1.72236,-1.77232
1.49458,-1.73331
-1.71333,-1.72919
-1.71724,-1.72674
-1.67144,-1.70507
-1.68976,-1.69656
-1.64979,-1.67412
1.53613,-1.63987
-1.6136,-1.6197
-1.62553,-1.61235
1.55733,-1.59218
-1.6103,-1.59055
-1.585,-1.58111
-1.59872,-1.58181
-1.57992,-1.57615
-1.58143,-1.5739
1.61511,-1.55036
-1.54854,-1.54337
-1.54867,-1.53993
-1.50834,-1.52195
-1.54676,-1.52617
-1.52763,-1.52281
-1.51581,-1.51642
-1.47493,-1.49549
-1.71302,-1.58104
-1.69605,-1.63778
-1.71104,-1.68329
-1.67402,-1.69715
-1.68795,-1.70855
-1.71091,-1.72258
1.46799,-1.71381
-1.65857,-1.69808
-1.64564,-1.67927
1.52326,-1.65327
-1.63284,-1.64051
1.52495,-1.62547
-1.60908,-1.61263
-1.62784,-1.61266
-1.61657,-1.60958
-1.59209,-1.59828
-1.58644,-1.58868
-1.58096,-1.58057
-1.56916,-1.57096
1.62288,-1.54401
-1.55557,-1.54111
-1.53813,-1.53367
-1.53758,-1.5296
-1.54514,-1.53127
-1.52389,-1.52482
-1.49231,-1.50772
-1.75604,-1.6068
-1.68182,-1.64924
-1.77356,-1.71588
-1.71124,-1.73462
-1.68656,-1.73262
-1.69851,-1.73151
-1.66542,-1.71343
-1.69216,-1.70898
-1.69762,-1.70688
-1.66462,-1.69081
-1.63124,-1.66466
-1.63061,-1.64562
-1.61276,-1.62546
1.55086,-1.60315
-1.58338,-1.58578
1.56423,-1.57291
-1.59078,-1.57155
-1.58594,-1.57081
-1.58681,-1.57237
-1.55487,-1.56143
-1.58909,-1.56873
-1.55508,-1.56089
-1.55506,-1.55571
-1.50968,-1.53359
-1.51548,-1.52061
-1.49452,-1.50373
-1.48207,-1.48772
-1.47565,-1.47512
-1.73116,-1.57508
-1.71595,-1.64353
-1.73372,-1.69852
-1.75013,-1.74111
-1.71294,-1.75119
-1.69557,-1.74564
-1.68495,-1.73256
1.46322,-1.71709
-1.67708,-1.70339
1.45076,-1.69838
-1.63667,-1.67193
-1.64566,-1.65655
-1.61932,-1.6354
-1.62609,-1.62423
-1.60178,-1.60775
-1.61464,-1.60294
-1.59766,-1.59428
-1.59898,-1.59017
-1.58026,-1.58088
1.61116,-1.55452
-1.52273,-1.53338
-1.54097,-1.52763
-1.5557,-1.5319
-1.50132,-1.51413
-1.53056,-1.5147
-1.54542,-1.52298
-1.48721,-1.50578
-1.44165,-1.47468
-1.71255,-1.56674
-1.70391,-1.63225
-1.71055,-1.68079
-1.72061,-1.71638
1.49588,-1.70607
-1.70009,-1.71639
-1.65216,-1.70052
-1.67228,-1.69454
-1.63805,-1.67431
-1.65803,-1.66704
-1.61912,-1.64553
-1.63213,-1.63565
-1.62238,-1.62545
-1.62207,-1.61907
-1.62724,-1.61786
1.56513,-1.59686
-1.59853,-1.59174
-1.58739,-1.58482
-1.57461,-1.57572
-1.543,-1.55705
-1.5621,-1.55272
-1.56205,-1.55119
-1.55459,-1.54835
-1.52964,-1.5369
-1.54471,-1.5358
-1.54286,-1.53534
-1.52135,-1.52686
-1.71245,-1.60153
-1.7155,-1.6581
-1.73588,-1.70567
-1.71075,-1.72599
-1.7241,-1.74174
-1.69912,-1.7385
-1.67593,-1.72265
-1.67922,-1.70979
-1.65301,-1.68804
-1.65166,-1.67107
-1.63762,-1.65324
-1.63006,-1.63804
-1.61871,-1.6236
-1.60123,-1.60735
-1.6092,-1.60061
-1.60875,-1.59743
-1.60388,-1.59476
-1.58638,-1.58685
-1.57341,-1.57677
-1.57553,-1.57144
-1.5619,-1.56308
-1.54128,-1.54944
-1.5552,-1.54649
1.67125,-1.5101
-1.53064,-1.51
-1.50423,-1.50109
-1.49749,-1.49343
-1.47493,-1.47995
-1.77301,-1.59666
-1.74306,-1.67084
-1.73996,-1.72037
-1.76228,-1.76059
-1.71193,-1.76299
-1.71927,-1.76196
-1.67481,-1.73811
-1.69212,-1.72471
-1.68068,-1.70862
-1.67258,-1.69287
-1.65858,-1.67567
-1.64397,-1.65772
-1.65215,-1.64925
-1.63314,-1.63667
-1.62511,-1.62562
-1.60867,-1.61225
-1.60916,-1.60431
-1.57912,-1.58763
-1.59877,-1.58527
-1.57947,-1.57726
1.61159,-1.55209
-1.54213,-1.54019
-1.55474,-1.53878
-1.53263,-1.53041
-1.50699,-1.51503
-1.52963,-1.51474
-1.52753,-1.51529
-1.52532,-1.51601
-1.45713,-1.48881
-1.70386,-1.57314
-1.73649,-1.64986
-1.6917,-1.68493
-1.72981,-1.722
-1.6889,-1.72719
-1.6924,-1.72755
-1.6691,-1.71419
-1.68703,-1.70911
-1.65227,-1.68919
-1.65683,-1.67557
-1.61961,-1.65002
-1.63196,-1.6371
-1.60841,-1.61917
-1.61528,-1.61048
-1.62735,-1.61102
-1.59136,-1.59799
-1.61149,-1.59817
-1.58703,-1.58944
-1.56821,-1.57621
-1.54882,-1.55954
-1.54785,-1.5483
-1.5538,-1.54423
-1.53181,-1.53367
-1.55334,-1.53637
-1.52738,-1.52887
-1.52418,-1.52302
-1.52167,-1.5187
-1.74468,-1.61008
-1.69361,-1.6562
-1.73856,-1.70585
-1.70837,-1.72552
-1.69903,-1.73118
-1.69312,-1.72851
-1.66407,-1.71097
-1.67908,-1.70203
-1.63851,-1.67734
-1.68281,-1.67742
-1.62497,-1.65378
-1.6226,-1.63595
-1.62602,-1.62561
-1.61953,-1.61692
-1.58952,-1.59957
-1.60207,-1.59368
1.56543,-1.5803
-1.58586,-1.57615
-1.59259,-1.57762
-1.57495,-1.57268
-1.55553,-1.56191
1.62915,-1.53689
-1.54069,-1.53159
-1.49317,-1.50955
-1.53185,-1.51123
-1.52879,-1.51314
-1.46987,-1.49121
-1.46263,-1.47315
-1.77809,-1.5939
-1.70377,-1.65264
-1.78538,-1.72649
-1.7268,-1.75111
-1.77249,-1.78195
-1.71341,-1.77405
-1.65287,-1.73752
-1.72233,-1.73635
-1.71716,-1.73199
-1.69828,-1.71994
-1.63885,-1.68567
